address	bundle	op	role	defs	uses	text
0x92c	0	vconv.bf16.fp32	bf16_coeff	vec0.lo, vec0.hi	acc1.bmhl<-register_move:g2@0x91a.0:vmov; acc1.bmhh<-register_move:g2@0x91e.0:vmov	vconv.bf16.fp32	 x0, cmh1
0x92c	1	vups.4x	expanded_q4	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	vec1.lo<-bf16_coeff:g2@0x922.0:vconv.bf16.fp32; vec1.hi<-bf16_coeff:g2@0x922.0:vconv.bf16.fp32; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm3, x1, s0, upssign0
0x92c	2	vadd	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc3.bmll<-expanded_q4:g2@0x92c.1:vups.4x; acc3.bmlh<-expanded_q4:g2@0x92c.1:vups.4x; acc3.bmhl<-expanded_q4:g2@0x92c.1:vups.4x; acc3.bmhh<-expanded_q4:g2@0x92c.1:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm2, dm3, dm0, r0
0x936	0	vextbcst.16	activation_lane_broadcast	vec4.lo, vec4.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x4, x11, #0xc
0x93a	0	vunpack	unpacked_q4	vec4.lo, vec4.hi	vec6.lo<-vector_load:g2@0x85c.0:vldb; unpacksign0<-entry:entry	vunpack	x4, wl6, unpacksign0
0x93a	1	vmov	register_move	acc1.bmlh	acc3.bmlh<-expanded_q4:g2@0x92c.1:vups.4x	vmov	bmlh1, bmlh3
0x93a	2	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc4.bmll<-mac_accumulate:g2@0x922.2:vmac.f; acc4.bmlh<-mac_accumulate:g2@0x922.2:vmac.f; acc4.bmhl<-mac_accumulate:g2@0x922.2:vmac.f; acc4.bmhh<-mac_accumulate:g2@0x922.2:vmac.f; vec2.lo<-bf16_coeff:g2@0x8c8.0:vconv.bf16.fp32; vec2.hi<-bf16_coeff:g2@0x8c8.0:vconv.bf16.fp32; vec7.lo<-activation_lane_broadcast:g2@0x8f4.0:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x8f4.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm4, x2, x7, r4
0x944	0	vunpack	unpacked_q4	vec6.lo, vec6.hi	vec6.hi<-vector_load:g2@0x85c.0:vldb; unpacksign0<-entry:entry	vunpack	x6, wh6, unpacksign0
0x944	1	vextbcst.16	activation_lane_broadcast	vec5.lo, vec5.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x5, x11, #0xd
0x944	2	vsub.f	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc2.bmll<-vector_arith:g2@0x92c.2:vadd; acc2.bmlh<-vector_arith:g2@0x92c.2:vadd; acc2.bmhl<-vector_arith:g2@0x92c.2:vadd; acc2.bmhh<-vector_arith:g2@0x92c.2:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm2, dm2, dm0, r5
0x94e	0	vconv.bf16.fp32	bf16_coeff	vec2.lo, vec2.hi	acc1.bmll<-register_move:g2@0x922.1:vmov; acc1.bmlh<-register_move:g2@0x93a.1:vmov	vconv.bf16.fp32	 x2, cml1
0x94e	1	vextbcst.16	activation_lane_broadcast	vec10.lo, vec10.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x10, x11, #0xe
0x956	0	vextbcst.16	activation_lane_broadcast	vec3.lo, vec3.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x3, x11, #0xf
0x956	1	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc3.bmll<-mac_accumulate:g2@0x93a.2:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x93a.2:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x93a.2:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x93a.2:vmac.f; vec3.lo<-activation_lane_broadcast:g2@0x956.0:vextbcst.16; vec3.hi<-activation_lane_broadcast:g2@0x956.0:vextbcst.16; vec10.lo<-activation_lane_broadcast:g2@0x94e.1:vextbcst.16; vec10.hi<-activation_lane_broadcast:g2@0x94e.1:vextbcst.16; r4<-entry:entry	vmac.f	dm1, dm3, x3, x10, r4
0x95e	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x10
0x962	0	vmov	register_move	vec8.lo	vec1.hi<-bf16_coeff:g2@0x922.0:vconv.bf16.fp32	vmov	wl8, wh1
0x966	0	vextbcst.16	activation_lane_broadcast	vec4.lo, vec4.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x4, x11, #0x15
0x966	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc1.bmll<-mac_accumulate:g2@0x956.1:vmac.f; acc1.bmlh<-mac_accumulate:g2@0x956.1:vmac.f; acc1.bmhl<-mac_accumulate:g2@0x956.1:vmac.f; acc1.bmhh<-mac_accumulate:g2@0x956.1:vmac.f; vec8.lo<-register_move:g2@0x962.0:vmov; vec8.hi<-bf16_coeff:g2@0x8ea.0:vconv.bf16.fp32; vec4.lo<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm1, x8, x4, r4
0x96e	0	vups.4x	expanded_q4	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	vec4.lo<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm4, x4, s0, upssign0
0x96e	1	vadd	vector_arith	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-expanded_q4:g2@0x96e.0:vups.4x; acc4.bmlh<-expanded_q4:g2@0x96e.0:vups.4x; acc4.bmhl<-expanded_q4:g2@0x96e.0:vups.4x; acc4.bmhh<-expanded_q4:g2@0x96e.0:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm4, dm4, dm0, r0
0x976	0	vmov	register_move	vec5.lo	vec2.hi<-bf16_coeff:g2@0x94e.0:vconv.bf16.fp32	vmov	wl5, wh2
0x97a	0	vextbcst.16	activation_lane_broadcast	vec9.lo, vec9.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x9, x11, #0x11
0x97a	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x966.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x966.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x966.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x966.1:vmac.f; vec9.lo<-activation_lane_broadcast:g2@0x97a.0:vextbcst.16; vec9.hi<-activation_lane_broadcast:g2@0x97a.0:vextbcst.16; vec5.lo<-register_move:g2@0x976.0:vmov; vec5.hi<-activation_lane_broadcast:g2@0x944.1:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x9, x5, r4
0x982	0	vsub.f	vector_arith	acc4.bmll, acc4.bmlh, acc4.bmhl, acc4.bmhh	acc4.bmll<-vector_arith:g2@0x96e.1:vadd; acc4.bmlh<-vector_arith:g2@0x96e.1:vadd; acc4.bmhl<-vector_arith:g2@0x96e.1:vadd; acc4.bmhh<-vector_arith:g2@0x96e.1:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm4, dm4, dm0, r5
0x986	0	vextbcst.16	activation_lane_broadcast	vec1.lo, vec1.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x1, x11, #0x12
0x98a	0	vmov	register_move	acc1.bmll	acc2.bmll<-vector_arith:g2@0x944.2:vsub.f	vmov	bmll1, bmll2
0x98a	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x97a.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x97a.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x97a.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x97a.1:vmac.f; vec1.lo<-activation_lane_broadcast:g2@0x986.0:vextbcst.16; vec1.hi<-activation_lane_broadcast:g2@0x986.0:vextbcst.16; vec10.lo<-activation_lane_broadcast:g2@0x94e.1:vextbcst.16; vec10.hi<-activation_lane_broadcast:g2@0x94e.1:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x1, x10, r4
0x992	0	vextbcst.16	activation_lane_broadcast	vec10.lo, vec10.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x10, x11, #0x18
0x996	0	vmov	register_move	vec3.lo	vec0.hi<-bf16_coeff:g2@0x92c.0:vconv.bf16.fp32	vmov	wl3, wh0
0x99a	0	vextbcst.16	activation_lane_broadcast	vec8.lo, vec8.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x8, x11, #0x13
0x99a	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x98a.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x98a.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x98a.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x98a.1:vmac.f; vec8.lo<-activation_lane_broadcast:g2@0x99a.0:vextbcst.16; vec8.hi<-activation_lane_broadcast:g2@0x99a.0:vextbcst.16; vec3.lo<-register_move:g2@0x996.0:vmov; vec3.hi<-activation_lane_broadcast:g2@0x956.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x8, x3, r4
0x9a2	0	vmov	register_move	acc1.bmlh	acc2.bmlh<-vector_arith:g2@0x944.2:vsub.f	vmov	bmlh1, bmlh2
0x9a6	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x14
0x9aa	0	vconv.bf16.fp32	bf16_coeff	vec2.lo, vec2.hi	acc1.bmll<-register_move:g2@0x98a.0:vmov; acc1.bmlh<-register_move:g2@0x9a2.0:vmov	vconv.bf16.fp32	 x2, cml1
0x9aa	1	vmov	register_move	acc1.bmhl	acc2.bmhl<-vector_arith:g2@0x944.2:vsub.f	vmov	bmhl1, bmhl2
0x9aa	2	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x99a.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x99a.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x99a.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x99a.1:vmac.f; vec2.lo<-bf16_coeff:g2@0x9aa.0:vconv.bf16.fp32; vec2.hi<-bf16_coeff:g2@0x9aa.0:vconv.bf16.fp32; vec7.lo<-activation_lane_broadcast:g2@0x9a6.0:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x9a6.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x2, x7, r4
0x9b4	0	vmov	register_move	acc1.bmhh	acc2.bmhh<-vector_arith:g2@0x944.2:vsub.f	vmov	bmhh1, bmhh2
0x9b8	0	vups.4x	expanded_q4	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	vec6.lo<-unpacked_q4:g2@0x944.0:vunpack; vec6.hi<-unpacked_q4:g2@0x944.0:vunpack; s0<-entry:entry; upssign0<-entry:entry	vups.4x	dm1, x6, s0, upssign0
0x9b8	1	vadd	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc1.bmll<-expanded_q4:g2@0x9b8.0:vups.4x; acc1.bmlh<-expanded_q4:g2@0x9b8.0:vups.4x; acc1.bmhl<-expanded_q4:g2@0x9b8.0:vups.4x; acc1.bmhh<-expanded_q4:g2@0x9b8.0:vups.4x; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r0<-entry:entry	vadd	dm2, dm1, dm0, r0
0x9c0	0	vconv.bf16.fp32	bf16_coeff	vec5.lo, vec5.hi	acc1.bmhl<-expanded_q4:g2@0x9b8.0:vups.4x; acc1.bmhh<-expanded_q4:g2@0x9b8.0:vups.4x	vconv.bf16.fp32	 x5, cmh1
0x9c0	1	vextbcst.16	activation_lane_broadcast	vec6.lo, vec6.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x6, x11, #0x16
0x9c0	2	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x9aa.2:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x9aa.2:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x9aa.2:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x9aa.2:vmac.f; vec5.lo<-bf16_coeff:g2@0x9c0.0:vconv.bf16.fp32; vec5.hi<-bf16_coeff:g2@0x9c0.0:vconv.bf16.fp32; vec9.lo<-activation_lane_broadcast:g2@0x97a.0:vextbcst.16; vec9.hi<-activation_lane_broadcast:g2@0x97a.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x5, x9, r4
0x9ca	0	vextbcst.16	activation_lane_broadcast	vec9.lo, vec9.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x9, x11, #0x17
0x9ca	1	vsub.f	vector_arith	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc2.bmll<-vector_arith:g2@0x9b8.1:vadd; acc2.bmlh<-vector_arith:g2@0x9b8.1:vadd; acc2.bmhl<-vector_arith:g2@0x9b8.1:vadd; acc2.bmhh<-vector_arith:g2@0x9b8.1:vadd; acc0.bmll<-entry:entry; acc0.bmlh<-entry:entry; acc0.bmhl<-entry:entry; acc0.bmhh<-entry:entry; r5<-entry:entry	vsub.f	dm2, dm2, dm0, r5
0x9d2	0	vextbcst.16	activation_lane_broadcast	vec0.lo, vec0.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x0, x11, #0x19
0x9d6	0	vmov	register_move	acc1.bmll	acc4.bmll<-vector_arith:g2@0x982.0:vsub.f	vmov	bmll1, bmll4
0x9d6	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x9c0.2:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x9c0.2:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x9c0.2:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x9c0.2:vmac.f; vec0.lo<-activation_lane_broadcast:g2@0x9d2.0:vextbcst.16; vec0.hi<-activation_lane_broadcast:g2@0x9d2.0:vextbcst.16; vec1.lo<-activation_lane_broadcast:g2@0x986.0:vextbcst.16; vec1.hi<-activation_lane_broadcast:g2@0x986.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x0, x1, r4
0x9de	0	nop	nop			nop
0x9e0	0	vmov	register_move	vec8.lo	vec5.hi<-bf16_coeff:g2@0x9c0.0:vconv.bf16.fp32	vmov	wl8, wh5
0x9e4	0	vmov	register_move	acc1.bmlh	acc4.bmlh<-vector_arith:g2@0x982.0:vsub.f	vmov	bmlh1, bmlh4
0x9e4	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x9d6.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x9d6.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x9d6.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x9d6.1:vmac.f; vec3.lo<-register_move:g2@0x996.0:vmov; vec3.hi<-activation_lane_broadcast:g2@0x956.0:vextbcst.16; vec8.lo<-register_move:g2@0x9e0.0:vmov; vec8.hi<-activation_lane_broadcast:g2@0x99a.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x3, x8, r4
0x9ec	0	vmov	register_move	acc1.bmhh	acc4.bmhh<-vector_arith:g2@0x982.0:vsub.f	vmov	bmhh1, bmhh4
0x9f0	0	vconv.bf16.fp32	bf16_coeff	vec3.lo, vec3.hi	acc1.bmll<-register_move:g2@0x9d6.0:vmov; acc1.bmlh<-register_move:g2@0x9e4.0:vmov	vconv.bf16.fp32	 x3, cml1
0x9f0	1	vmov	register_move	vec2.lo	vec2.hi<-bf16_coeff:g2@0x9aa.0:vconv.bf16.fp32	vmov	wl2, wh2
0x9f8	0	vmov	register_move	acc1.bmhl	acc4.bmhl<-vector_arith:g2@0x982.0:vsub.f	vmov	bmhl1, bmhl4
0x9f8	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x9e4.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x9e4.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x9e4.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x9e4.1:vmac.f; vec2.lo<-register_move:g2@0x9f0.1:vmov; vec2.hi<-bf16_coeff:g2@0x9aa.0:vconv.bf16.fp32; vec7.lo<-activation_lane_broadcast:g2@0x9a6.0:vextbcst.16; vec7.hi<-activation_lane_broadcast:g2@0x9a6.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x2, x7, r4
0xa00	0	vmov	register_move	acc1.bmll	acc2.bmll<-vector_arith:g2@0x9ca.1:vsub.f	vmov	bmll1, bmll2
0xa04	0	vconv.bf16.fp32	bf16_coeff	vec1.lo, vec1.hi	acc1.bmhl<-register_move:g2@0x9f8.0:vmov; acc1.bmhh<-register_move:g2@0x9ec.0:vmov	vconv.bf16.fp32	 x1, cmh1
0xa04	1	vmov	register_move	acc1.bmlh	acc2.bmlh<-vector_arith:g2@0x9ca.1:vsub.f	vmov	bmlh1, bmlh2
0xa0c	0	vmov	register_move	acc1.bmhl	acc2.bmhl<-vector_arith:g2@0x9ca.1:vsub.f	vmov	bmhl1, bmhl2
0xa0c	1	vmac.f	mac_accumulate	acc3.bmll, acc3.bmlh, acc3.bmhl, acc3.bmhh	acc3.bmll<-mac_accumulate:g2@0x9f8.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0x9f8.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0x9f8.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0x9f8.1:vmac.f; vec2.lo<-register_move:g2@0x9f0.1:vmov; vec2.hi<-bf16_coeff:g2@0x9aa.0:vconv.bf16.fp32; vec4.lo<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; vec4.hi<-activation_lane_broadcast:g2@0x966.0:vextbcst.16; r4<-entry:entry	vmac.f	dm3, dm3, x2, x4, r4
0xa14	0	vmov	register_move	acc1.bmhh	acc2.bmhh<-vector_arith:g2@0x9ca.1:vsub.f	vmov	bmhh1, bmhh2
0xa18	0	vconv.bf16.fp32	bf16_coeff	vec5.lo, vec5.hi	acc1.bmll<-register_move:g2@0xa00.0:vmov; acc1.bmlh<-register_move:g2@0xa04.1:vmov	vconv.bf16.fp32	 x5, cml1
0xa18	1	vextbcst.16	activation_lane_broadcast	vec2.lo, vec2.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x2, x11, #0x1a
0xa20	0	vconv.bf16.fp32	bf16_coeff	vec4.lo, vec4.hi	acc1.bmhl<-register_move:g2@0xa0c.0:vmov; acc1.bmhh<-register_move:g2@0xa14.0:vmov	vconv.bf16.fp32	 x4, cmh1
0xa20	1	vextbcst.16	activation_lane_broadcast	vec6.lo, vec6.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x6, x11, #0x1b
0xa20	2	vmac.f	mac_accumulate	acc2.bmll, acc2.bmlh, acc2.bmhl, acc2.bmhh	acc3.bmll<-mac_accumulate:g2@0xa0c.1:vmac.f; acc3.bmlh<-mac_accumulate:g2@0xa0c.1:vmac.f; acc3.bmhl<-mac_accumulate:g2@0xa0c.1:vmac.f; acc3.bmhh<-mac_accumulate:g2@0xa0c.1:vmac.f; vec5.lo<-bf16_coeff:g2@0xa18.0:vconv.bf16.fp32; vec5.hi<-bf16_coeff:g2@0xa18.0:vconv.bf16.fp32; vec6.lo<-activation_lane_broadcast:g2@0xa20.1:vextbcst.16; vec6.hi<-activation_lane_broadcast:g2@0xa20.1:vextbcst.16; r4<-entry:entry	vmac.f	dm2, dm3, x5, x6, r4
0xa2a	0	vextbcst.16	activation_lane_broadcast	vec7.lo, vec7.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x7, x11, #0x1c
0xa2e	0	vmov	register_move	vec8.lo	vec1.hi<-bf16_coeff:g2@0xa04.0:vconv.bf16.fp32	vmov	wl8, wh1
0xa32	0	vmov	register_move	vec9.lo	vec5.hi<-bf16_coeff:g2@0xa18.0:vconv.bf16.fp32	vmov	wl9, wh5
0xa32	1	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc2.bmll<-mac_accumulate:g2@0xa20.2:vmac.f; acc2.bmlh<-mac_accumulate:g2@0xa20.2:vmac.f; acc2.bmhl<-mac_accumulate:g2@0xa20.2:vmac.f; acc2.bmhh<-mac_accumulate:g2@0xa20.2:vmac.f; vec8.lo<-register_move:g2@0xa2e.0:vmov; vec8.hi<-activation_lane_broadcast:g2@0x99a.0:vextbcst.16; vec9.lo<-register_move:g2@0xa32.0:vmov; vec9.hi<-activation_lane_broadcast:g2@0x9ca.0:vextbcst.16; r4<-entry:entry	vmac.f	dm1, dm2, x8, x9, r4
0xa3a	0	vmov	register_move	acc4.bmll	lfh0<-register_move:g2@0x84c.0:vmov	vmov	bmll4, lfh0
0xa3e	0	lda.s16	lda.s16	r7, p3	p3<-lda.s16:g1@0x78a.0:lda.s16	lda.s16	 r7, [p3], #0x2
0xa3e	1	vmov	register_move	vec3.lo	vec3.hi<-bf16_coeff:g2@0x9f0.0:vconv.bf16.fp32	vmov	wl3, wh3
0xa44	0	vldb	vector_load	vec2.lo	p5<-add.nc:g0@0x26c.3:add.nc	vldb	 wl2, [p5], #0x40
0xa44	1	vextbcst.16	activation_lane_broadcast	vec10.lo, vec10.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x10, x11, #0x1d
0xa44	2	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc1.bmll<-mac_accumulate:g2@0xa32.1:vmac.f; acc1.bmlh<-mac_accumulate:g2@0xa32.1:vmac.f; acc1.bmhl<-mac_accumulate:g2@0xa32.1:vmac.f; acc1.bmhh<-mac_accumulate:g2@0xa32.1:vmac.f; vec3.lo<-register_move:g2@0xa3e.1:vmov; vec3.hi<-bf16_coeff:g2@0x9f0.0:vconv.bf16.fp32; vec10.lo<-activation_lane_broadcast:g2@0xa44.1:vextbcst.16; vec10.hi<-activation_lane_broadcast:g2@0xa44.1:vextbcst.16; r4<-entry:entry	vmac.f	dm1, dm1, x3, x10, r4
0xa4e	0	nop	nop			nop
0xa50	0	vextbcst.16	activation_lane_broadcast	vec0.lo, vec0.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x0, x11, #0x1e
0xa54	0	vlda	vector_load	vec8.lo, vec8.hi	p0<-entry:entry	vlda	 x8, [p0], #0x40
0xa54	1	vldb	vector_load	vec6.lo	p4<-add.nc:g0@0x284.2:add.nc	vldb	 wl6, [p4], #0x40
0xa54	2	vextbcst.16	activation_lane_broadcast	vec11.lo, vec11.hi	vec11.lo<-vector_load:g2@0x7de.0:vldb; vec11.hi<-vector_load:g2@0x7de.0:vldb	vextbcst.16	 x11, x11, #0x1f
0xa54	3	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc1.bmll<-mac_accumulate:g2@0xa44.2:vmac.f; acc1.bmlh<-mac_accumulate:g2@0xa44.2:vmac.f; acc1.bmhl<-mac_accumulate:g2@0xa44.2:vmac.f; acc1.bmhh<-mac_accumulate:g2@0xa44.2:vmac.f; vec3.lo<-register_move:g2@0xa3e.1:vmov; vec3.hi<-bf16_coeff:g2@0x9f0.0:vconv.bf16.fp32; vec0.lo<-activation_lane_broadcast:g2@0xa50.0:vextbcst.16; vec0.hi<-activation_lane_broadcast:g2@0xa50.0:vextbcst.16; r4<-entry:entry	vmac.f	dm1, dm1, x3, x0, r4
0xa60	0	vmov	register_move	vec3.lo	vec4.hi<-bf16_coeff:g2@0xa20.0:vconv.bf16.fp32	vmov	wl3, wh4
0xa64	0	vbcst.16	scalar_broadcast	vec1.lo, vec1.hi	r7<-lda.s16:g2@0xa3e.0:lda.s16	vbcst.16	 x1, r7
0xa68	0	vldb	vector_load	vec7.lo, vec7.hi	p0<-entry:entry	vldb	 x7, [p0], #0x40
0xa68	1	vmac.f	mac_accumulate	acc1.bmll, acc1.bmlh, acc1.bmhl, acc1.bmhh	acc1.bmll<-mac_accumulate:g2@0xa54.3:vmac.f; acc1.bmlh<-mac_accumulate:g2@0xa54.3:vmac.f; acc1.bmhl<-mac_accumulate:g2@0xa54.3:vmac.f; acc1.bmhh<-mac_accumulate:g2@0xa54.3:vmac.f; vec1.lo<-scalar_broadcast:g2@0xa64.0:vbcst.16; vec1.hi<-scalar_broadcast:g2@0xa64.0:vbcst.16; vec2.lo<-vector_load:g2@0xa44.0:vldb; vec2.hi<-activation_lane_broadcast:g2@0xa18.1:vextbcst.16; r4<-entry:entry	vmac.f	dm1, dm1, x1, x2, r4
0xa70	0	vunpack	unpacked_q4	vec5.lo, vec5.hi	vec7.lo<-vector_load:g2@0xa68.0:vldb; unpacksign0<-entry:entry	vunpack	x5, wl7, unpacksign0
0xa74	0	nop	nop			nop
